No.;Gene name;Score;Oncogene or Tumor Suppresson gene
579;PGR;0.000294296;x
580;ORC1;0.000294101;#N/A
581;GTSE1;0.000294057;#N/A
582;CTR9;0.000293926;x
583;CHEK2;0.000293604;x
584;TUBB4A;0.000292677;#N/A
585;EP400;0.000292639;x
586;PSG11;0.000292348;#N/A
587;MTA1;0.000292265;#N/A
588;MAGEC2;0.000292207;#N/A
589;WNT5A;0.000291795;#N/A
590;PSMD14;0.000290547;#N/A
591;SMARCD1;0.000290347;#N/A
592;SGK2;0.000289951;#N/A
593;ZFP91;0.000289761;#N/A
594;XRCC3;0.000289718;#N/A
595;MAP3K7;0.000289303;x
596;SORT1;0.000289054;#N/A
597;MED23;0.000288381;#N/A
598;PSMA1;0.000288295;#N/A
599;USP34;0.000287756;#N/A
600;HECTD1;0.000287081;#N/A
601;CCNE2;0.000286432;#N/A
602;XRCC5;0.000285722;#N/A
603;BIRC5;0.000285469;#N/A
604;RPS27A;0.000285456;#N/A
605;ALLC;0.000285147;#N/A
606;NTRK1;0.0002848;x
607;PSMB3;0.000284727;#N/A
608;OTUD4;0.00028343;#N/A
609;STOM;0.00028334;#N/A
610;ARIH1;0.000283307;#N/A
611;CDK6;0.000282264;x
612;CGA;0.000282185;#N/A
613;GOLT1B;0.000281641;#N/A
614;KPNB1;0.000281551;#N/A
615;BAZ2A;0.000281544;#N/A
616;AGO1;0.000281399;x
617;SON;0.000280709;#N/A
618;MATR3;0.000280643;#N/A
619;PRKAA1;0.000280511;#N/A
620;PSMC1;0.000279531;#N/A
621;ASPM;0.000279409;#N/A
622;LRP2;0.000278292;#N/A
623;NCOA2;0.000278111;#N/A
624;ELOB;0.000277617;#N/A
625;TNKS2;0.000277364;#N/A
626;ROCK1;0.000277175;#N/A
627;BAIAP2;0.000277036;#N/A
628;NDUFA11;0.000276952;#N/A
629;GNB1;0.000276626;x
630;SMARCE1;0.000276379;x
631;MLH1;0.000275826;x
632;MAD2L1;0.000275443;#N/A
633;NLK;0.000275435;#N/A
634;FPGS;0.000275083;#N/A
635;BPTF;0.00027495;#N/A
636;FGA;0.000274698;#N/A
637;CDK8;0.000274356;x
638;NEK4;0.000274309;#N/A
639;PAX6;0.000273623;#N/A
640;PHC3;0.000273422;#N/A
641;DPP8;0.000272463;#N/A
642;HCFC1;0.000271685;#N/A
643;POLQ;0.000270919;#N/A
644;BOD1L1;0.000270852;#N/A
645;PLCG2;0.000270594;x
646;FGF2;0.000270446;x
647;XRCC2;0.000270098;x
648;PRKCB;0.000269836;x
649;MYO1C;0.000269574;#N/A
650;CENPU;0.000269301;#N/A
651;NUP205;0.000269091;#N/A
652;POLR2G;0.000268861;#N/A
653;KBTBD7;0.000268408;#N/A
654;PSMC2;0.00026812;#N/A
655;MAP3K1;0.000267643;x
656;TSC2;0.000266774;x
657;BCLAF1;0.000266624;#N/A
658;LEF1;0.000266442;x
659;CENPF;0.00026628;#N/A
660;DDX5;0.000266046;x
661;STK4;0.000265985;#N/A
662;KIF11;0.000265917;#N/A
663;THOC2;0.000265537;#N/A
664;FOXQ1;0.000265002;#N/A
665;PSMB9;0.00026497;#N/A
666;USP8;0.000264812;x
667;NUP98;0.0002647;x
668;TEAD1;0.000264586;#N/A
669;GRIN2B;0.00026413;#N/A
670;NOTCH2;0.000263992;x
671;SEH1L;0.000263975;#N/A
672;STAT5B;0.000263656;x
673;PRKACB;0.00026344;#N/A
674;STT3B;0.000263101;#N/A
675;SNRPC;0.000262838;#N/A
676;JUP;0.00026275;#N/A
677;BAG6;0.000262447;#N/A
678;DBN1;0.000261515;#N/A
679;TFDP1;0.000261232;#N/A
680;EHMT1;0.000261186;#N/A
681;FSHB;0.000261041;#N/A
682;CDK5;0.000260828;#N/A
683;INTS2;0.000260325;#N/A
684;TOP2A;0.000260149;x
685;GOLGA2;0.000259713;#N/A
686;PRKCD;0.000259576;#N/A
687;HTT;0.000259499;#N/A
688;TRIM33;0.000259333;#N/A
689;CUL4B;0.000258331;#N/A
690;WNT4;0.000258174;#N/A
691;HGS;0.000257768;#N/A
