No.;Gene name;Score;Oncogene or Tumor Suppresson gene
3599;SPATA17;7.64E-05;#N/A
3600;PSENEN;7.63E-05;#N/A
3601;IDS;7.63E-05;#N/A
3602;SKA1;7.63E-05;#N/A
3603;DYDC1;7.63E-05;#N/A
3604;SCARA3;7.62E-05;#N/A
3605;SHB;7.62E-05;#N/A
3606;SCGB2A1;7.62E-05;#N/A
3607;PNMA2;7.62E-05;#N/A
3608;LMO1;7.61E-05;x
3609;HGFAC;7.61E-05;#N/A
3610;HMOX2;7.61E-05;#N/A
3611;INIP;7.59E-05;#N/A
3612;C17orf75;7.59E-05;#N/A
3613;CRY1;7.59E-05;#N/A
3614;ZEB1;7.59E-05;#N/A
3615;GSG1;7.58E-05;#N/A
3616;PRDX3;7.58E-05;#N/A
3617;MRPL1;7.58E-05;#N/A
3618;LRRC39;7.58E-05;#N/A
3619;KCTD10;7.58E-05;#N/A
3620;EARS2;7.57E-05;#N/A
3621;SEMG1;7.57E-05;#N/A
3622;IL2RA;7.57E-05;#N/A
3623;CPA1;7.57E-05;#N/A
3624;INO80E;7.57E-05;#N/A
3625;UBAC1;7.56E-05;#N/A
3626;TNFAIP6;7.56E-05;#N/A
3627;SCMH1;7.56E-05;#N/A
3628;ADD2;7.56E-05;#N/A
3629;RPL36A;7.56E-05;#N/A
3630;CNPY3;7.55E-05;#N/A
3631;CSNK1D;7.55E-05;#N/A
3632;PRKAR1B;7.55E-05;#N/A
3633;NKX3-1;7.54E-05;x
3634;HIPK1;7.54E-05;#N/A
3635;HP;7.54E-05;#N/A
3636;NFAM1;7.53E-05;#N/A
3637;APOA2;7.53E-05;#N/A
3638;APLF;7.53E-05;#N/A
3639;AMDHD1;7.53E-05;#N/A
3640;KRT85;7.52E-05;#N/A
3641;PDE3A;7.52E-05;#N/A
3642;NEK4;7.51E-05;#N/A
3643;CEP55;7.51E-05;#N/A
3644;STAU1;7.51E-05;#N/A
3645;LIPE;7.51E-05;#N/A
3646;L1TD1;7.51E-05;#N/A
3647;KIF21A;7.51E-05;#N/A
3648;NAA10;7.51E-05;#N/A
3649;SART3;7.50E-05;#N/A
3650;MAP1LC3C;7.50E-05;#N/A
3651;TRAF3IP3;7.49E-05;#N/A
3652;MT-CO2;7.49E-05;#N/A
3653;MOBP;7.48E-05;#N/A
3654;FZD9;7.48E-05;#N/A
3655;IL11RA;7.48E-05;#N/A
3656;SRSF1;7.48E-05;#N/A
3657;MRPS10;7.47E-05;#N/A
3658;STAM;7.47E-05;#N/A
3659;GCG;7.47E-05;#N/A
3660;SP100;7.47E-05;#N/A
3661;NR5A2;7.47E-05;#N/A
