No.;Gene name;Oncogene or Tumor Suppresson gene
;EGR1;x
;CDC20B;#N/A
;P3H2;#N/A
;RIPK1;#N/A
;TRAF3;x
;DNMT3B;x
;DEPDC1B;#N/A
;PASK;#N/A
;POLD4;#N/A
;SHC4;#N/A
;ARV1;#N/A
;TP53INP1;#N/A
;KSR1;#N/A
;ITGB7;#N/A
;KIF11;#N/A
;TLE1;#N/A
;COL1A1;x
;GDNF;#N/A
;FCRL3;#N/A
;ESRRG;#N/A
;PSMC3;#N/A
;RHBDF2;#N/A
;RHEBL1;#N/A
;CASP1;#N/A
;CHMP4B;#N/A
;ZC3H12D;#N/A
;BIRC7;#N/A
;CCL3;#N/A
;CDC37;#N/A
;NEIL3;#N/A
;PDCL3;#N/A
;SELENOH;#N/A
;PRRG2;#N/A
;SUV39H1;#N/A
;RUNX1;x
;FAM184A;#N/A
;MGRN1;#N/A
;NOVA1;#N/A
;CDH1;x
;ZNF746;#N/A
;STK4;#N/A
;CHFR;#N/A
;GPR18;#N/A
;CALML5;#N/A
;NSG1;#N/A
;DLL1;#N/A
;CSNK1A1;#N/A
;CD177;#N/A
;CSF2RB;#N/A
;PDE9A;#N/A
;HSPB1;#N/A
;NF1;x
;RBX1;#N/A
;RIPK2;#N/A
;H2AC4;#N/A
;PKN3;#N/A
;WNT4;#N/A
;PSMB6;#N/A
;NPHP1;#N/A
;GNAI3;#N/A
;TNFSF4;#N/A
;RPS6KA2;#N/A
;TLR2;#N/A
;TLX1;x
;RANBP1;#N/A
;SEMA4D;#N/A
;IL2RB;#N/A
;ARRB2;#N/A
;IL9R;#N/A
;ADAM12;#N/A
;CUL3;x
;DNASE1L2;#N/A
;MTX2;#N/A
;IKBKE;x
;PSEN1;#N/A
;KLHL3;#N/A
;TFAP2B;#N/A
;CREB3;#N/A
;EIF2AK2;#N/A
;ZNF480;#N/A
;POU2F3;#N/A
;RPS6;#N/A
;EPN3;#N/A
;MAD2L2;x
;SH2D1B;#N/A
;PTPN5;#N/A
;OCLN;#N/A
;SUV39H2;#N/A
;HEY2;#N/A
;PSENEN;#N/A
;PDGFC;#N/A
;GRIN1;#N/A
;TMEM79;#N/A
;CHRNA7;#N/A
;TRIM28;#N/A
;CKS2;#N/A
;ISG15;#N/A
;TOR2A;#N/A
;PSMD2;#N/A
;H2BC9;#N/A
;SMARCD3;#N/A
;ANAPC11;#N/A
;SEPTIN4;#N/A
;KLHL6;x
;THOP1;#N/A
;KIF14;#N/A
;SMAD1;#N/A
;CCDC88C;#N/A
;DNHD1;#N/A
;CHPF;#N/A
;CPEB1;#N/A
;KCNH2;#N/A
;IL15;#N/A
;GNG5;#N/A
;PIN1;#N/A
;DLGAP5;#N/A
;KLF4;x
;HEYL;#N/A
;GNG11;#N/A
;WNT3;#N/A
;MAPKAPK3;#N/A
;FEZ1;#N/A
;NME8;#N/A
;PSMD1;#N/A
;RAP1A;#N/A
;PSMD11;#N/A
;PIM2;#N/A
;PTN;#N/A
;NFKBIE;#N/A
;SYNE1;#N/A
;SLC25A44;#N/A
;POLK;#N/A
;NAGK;#N/A
;CCT5;#N/A
;VEGFB;#N/A
;GPNMB;#N/A
;GNG10;#N/A
;SMARCE1;x
;NIPSNAP1;#N/A
;PSMC2;#N/A
;LAT;#N/A
;NSD2;x
;SFRP1;x
;HDGF;#N/A
;H2AC7;#N/A
;DSC3;#N/A
;MRGBP;#N/A
;H2AZ1;#N/A
;SPRY2;#N/A
;MEF2C;x
;TRAT1;#N/A
;MAPKAPK5;#N/A
;ELL3;#N/A
;HEY1;#N/A
;SOX4;#N/A
;PSMD8;#N/A
;FANCB;#N/A
;HCFC1;#N/A
;PSMC4;#N/A
;TSHZ2;#N/A
;ATR;x
;PSMC6;#N/A
;EGLN3;#N/A
;ATG101;#N/A
;TUFT1;#N/A
;PSMA3;#N/A
;PTPN22;#N/A
;PRR11;#N/A
;ALK;x
;MAPK8IP1;#N/A
;BCL2L11;x
;DVL2;#N/A
;ITPR2;#N/A
;CDC25C;#N/A
;IQGAP1;x
;MKRN3;#N/A
;TCF7;#N/A
;STK11IP;#N/A
;SMARCB1;x
;PSMD13;#N/A
;OSM;#N/A
;IRS4;#N/A
;LRP8;#N/A
;NCALD;#N/A
;RASSF1;#N/A
;CCL20;#N/A
;BID;#N/A
;H2BC21;#N/A
;PSMD6;#N/A
;IRAK1;#N/A
;FZD4;#N/A
;GTF2E1;#N/A
;FBN2;#N/A
;YWHAH;#N/A
;PPP2R2C;#N/A
;PDZRN3;#N/A
;ADCY6;#N/A
;PIK3CG;x
;DDIT3;#N/A
;ATP13A2;#N/A
;POLR2H;#N/A
;BRD7;#N/A
;AKAP5;#N/A
;NBN;x
;CCNB2;#N/A
;F8;#N/A
;CBX2;#N/A
;STRN;#N/A
;TRAF3IP3;#N/A
;TSPAN6;#N/A
;ZNF646;#N/A
;PSMB7;#N/A
;TMEM92;#N/A
;WNT16;#N/A
;PHKG1;#N/A
;PRMT1;#N/A
;PPM1E;#N/A
;RAB40C;#N/A
;TBP;#N/A
;FSD1;#N/A
;ACVRL1;#N/A
;CLDN19;#N/A
;CLDN3;#N/A
;ILK;#N/A
;PSMD12;#N/A
;GJB2;#N/A
;ZBTB32;#N/A
;ITGAX;#N/A
;PPAT;#N/A
;PSMB3;#N/A
;RAB31;#N/A
;PSMB9;#N/A
;IGFBP3;#N/A
;USP43;#N/A
;KIF1A;#N/A
;FAM83A;#N/A
;VSIG2;#N/A
;MPPED2;#N/A
;NOTCH4;x
;PSMA1;#N/A
;MYB;x
;PSMA2;#N/A
;CXCR3;#N/A
;ATF6B;#N/A
;PSMA7;#N/A
;EIF2AK3;#N/A
;LRP6;x
;FZD7;#N/A
;OAS3;#N/A
;SHH;#N/A
;PGR;x
;H2BC18;#N/A
;FZD1;#N/A
;GTSE1;#N/A
;IFNGR1;x
;ICA1L;#N/A
;DNAH11;#N/A
;RBL2;#N/A
;SLC22A18;#N/A
;DBF4B;#N/A
;VAV3;#N/A
;TIGIT;#N/A
;APBB1;#N/A
;AP1M2;#N/A
;KRT14;#N/A
;RAPGEF2;#N/A
;RSL24D1;#N/A
;ITPKA;#N/A
;ABL2;x
;PSMB1;#N/A
;SIRT7;#N/A
;SPP1;#N/A
;PARVG;#N/A
;CRTAM;#N/A
;SKA2;#N/A
;FGD5;#N/A
;CREB3L3;#N/A
;BAZ2B;#N/A
;H2BC17;#N/A
;NR3C1;#N/A
;BATF;#N/A
;GNB4;#N/A
;RNF146;#N/A
;CNTF;#N/A
;PSMD10;#N/A
;IRF5;#N/A
;EIF4EBP1;#N/A
;HES5;#N/A
;CTCF;x
;TLR3;#N/A
;EPS15L1;#N/A
;TYRO3;#N/A
;ARHGEF7;#N/A
;RALB;#N/A
;WNT7A;#N/A
;H2BC13;#N/A
;GPATCH2;#N/A
;CYCS;#N/A
;SFN;#N/A
;ADCY5;#N/A
;IFNA2;#N/A
;LCMT1;#N/A
;SUMO2;#N/A
